first_5_runs_allowed,pitcher_name,pitcher_era,pitcher_whip,pitcher_k9,pitcher_bb9,pitcher_kbb,pitcher_gbfb,pitcher_ip,pitcher_k_pct,is_home,year,date,opp_avg_runs_allowed,opp_avg_first5_allowed,predicted_f5,edge_vs_opp,is_lhp,game_key
4,Patrick Corbin,5.2,1.483,6.2,2.85,2.175,0.828,180.0,0.157,1,2023,2023-03-30,4.34,2.43,2.87,-0.44,1,2023-03-30|Washington Nationals|Atlanta Braves
2,Max Fried,2.565,1.14,9.326,2.098,4.444,1.453,77.2,0.2572,0,2023,2023-03-30,4.99,2.85,1.53,1.32,1,2023-03-30|Washington Nationals|Atlanta Braves
0,Gerrit Cole,2.627,0.981,9.56,2.067,4.625,0.676,209.0,0.2704,1,2023,2023-03-30,4.29,2.43,1.44,0.99,0,2023-03-30|New York Yankees|San Francisco Giants
3,Logan Webb,3.25,1.074,8.083,1.292,6.258,1.68,216.0,0.2282,0,2023,2023-03-30,4.12,2.36,1.76,0.6,0,2023-03-30|New York Yankees|San Francisco Giants
8,Corey Kluber,7.036,1.636,6.873,3.436,2.0,0.439,55.0,0.1634,1,2023,2023-03-30,4.19,2.4,3.88,-1.48,0,2023-03-30|Boston Red Sox|Baltimore Orioles
2,Kyle Gibson,4.734,1.318,7.359,2.578,2.855,0.99,192.0,0.1945,0,2023,2023-03-30,4.6,2.57,2.65,-0.08,0,2023-03-30|Boston Red Sox|Baltimore Orioles
0,Marcus Stroman,3.965,1.263,7.863,3.436,2.288,1.345,136.2,0.207,1,2023,2023-03-30,3.89,2.21,2.12,0.09,0,2023-03-30|Chicago Cubs|Milwaukee Brewers
4,Corbin Burnes,3.401,1.071,9.317,3.075,3.03,0.789,193.2,0.2551,0,2023,2023-03-30,4.49,2.61,1.92,0.69,0,2023-03-30|Chicago Cubs|Milwaukee Brewers
0,Shane McClanahan,3.287,1.183,9.47,3.209,2.951,0.806,115.0,0.258,1,2023,2023-03-30,4.39,2.41,1.8,0.61,1,2023-03-30|Tampa Bay Rays|Detroit Tigers
1,Eduardo Rodriguez,3.311,1.156,8.456,2.838,2.979,0.743,152.2,0.2303,0,2023,2023-03-30,4.03,2.34,1.79,0.55,1,2023-03-30|Tampa Bay Rays|Detroit Tigers
