first_5_runs_allowed,pitcher_id,pitcher_name,pitcher_era,pitcher_whip,pitcher_k9,pitcher_bb9,pitcher_kbb,pitcher_gbfb,pitcher_ip,pitcher_k_pct,pitcher_exp_er_5ip,pitcher_exp_h_5ip,pitcher_exp_bb_5ip,pitcher_exp_k_5ip,pitcher_days_rest,is_home,year,date,opp_avg_runs_allowed,opp_avg_first5_allowed,predicted_f5,edge_vs_opp,is_lhp,game_key
1,32081,Gerrit Cole,3.23,1.06,12.076,2.038,5.927,0.746,181.1,0.3347,1.79,4.17,1.13,6.71,4,1,2021,2021-04-01,1.02,1.01,1.35,-0.34,0,2021-04-01|New York Yankees|Toronto Blue Jays
2,32582,Hyun Jin Ryu,4.367,1.225,7.615,1.97,3.865,0.894,169.0,0.204,2.43,5.03,1.09,4.23,4,0,2021,2021-04-01,3.0,2.99,2.57,0.42,1,2021-04-01|New York Yankees|Toronto Blue Jays
0,34401,Matthew Boyd,3.913,1.279,7.711,2.647,2.913,0.655,78.2,0.1988,2.17,4.92,1.47,4.28,4,1,2021,2021-04-01,3.01,3.0,2.32,0.68,1,2021-04-01|Detroit Tigers|Cleveland Indians
3,40912,Shane Bieber,3.181,1.216,12.536,3.087,4.061,0.814,96.2,0.3309,1.77,4.37,1.72,6.96,4,0,2021,2021-04-01,8.95,1.0,1.32,-0.32,0,2021-04-01|Detroit Tigers|Cleveland Indians
0,31174,Nathan Eovaldi,3.756,1.192,9.638,1.73,5.571,0.739,182.1,0.2552,2.09,5.0,0.96,5.35,4,1,2021,2021-04-01,2.97,1.98,1.93,0.06,0,2021-04-01|Boston Red Sox|Baltimore Orioles
0,39948,John Means,3.632,1.033,8.249,1.601,5.154,0.5,146.2,0.2271,2.02,4.27,0.89,4.58,4,0,2021,2021-04-01,10.9,9.9,4.24,5.66,1,2021-04-01|Boston Red Sox|Baltimore Orioles
3,37515,Brandon Woodruff,2.563,0.966,10.603,2.161,4.907,0.767,179.1,0.298,1.42,3.63,1.2,5.89,4,1,2021,2021-04-01,1.01,0.5,0.82,-0.32,0,2021-04-01|Milwaukee Brewers|Minnesota Twins
2,34892,Kenta Maeda,4.665,1.301,9.585,2.714,3.531,0.667,106.1,0.2494,2.59,5.0,1.51,5.33,4,0,2021,2021-04-01,5.0,1.0,2.14,-1.14,0,2021-04-01|Milwaukee Brewers|Minnesota Twins
4,33173,Kyle Hendricks,4.773,1.348,6.514,2.188,2.977,0.804,181.0,0.1669,2.65,5.52,1.22,3.62,4,1,2021,2021-04-01,4.5,3.0,2.8,0.2,0,2021-04-01|Chicago Cubs|Pittsburgh Pirates
2,35021,Chad Kuhl,4.831,1.436,8.427,4.719,1.786,0.828,80.1,0.2149,2.68,4.56,2.62,4.68,4,0,2021,2021-04-01,2.01,0.51,2.09,-1.58,0,2021-04-01|Chicago Cubs|Pittsburgh Pirates
0,33709,Aaron Nola,4.645,1.132,11.138,1.948,5.718,0.713,180.2,0.2977,2.58,4.58,1.08,6.19,4,1,2021,2021-04-01,3.0,2.0,2.43,-0.43,0,2021-04-01|Philadelphia Phillies|Atlanta Braves
